,left_context,right_context,DISAGREE,value,AREA,AREA (reassessed by Kwame from Seitu feedback),Theme convereted areas,IGNORE_THIS,group,new_group,the_cutoff,SUMMARIZING_QUESTION,OVERALL PROGRESS,SUMMARIZING_RATIO,NUMBER OF ROWS,NUMBER UN-SUMMARIZED,NUMBER ROW SUMMARIZED,,,,,,
17486,,,,"CURRENT YEAR-TO-DATE STATEMENT OF ACTIVITIES (""INCOME STATEMENT"")
  COMPARED TO THE BUDGET (UNAUDITED)","Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1667,,0.44,&&&,,,,,,,,,,,
17489,,"This can include how your organization approaches financial health and resiliency (i.e., maintain operating reserves, budget for surpluses, engage in multi-year planning, etc.)",,"Please provide narrative for your organization's previous year financials, current year financials and multi-year financial plan (if requesting multi-year support).","Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1669,,0.44,&&&,,,,,,,,,,,
17490,Audited Financials,,,Please include your organization's financials for the two most recent years. This is not required for public schools and hospitals.,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1670,,0.44,&&&,,,,,,,,,,,
17491,Evaluation Results (optional),,,"Provide the organization’s most recent evaluation results or findings,
  relevant to this request.","Data handling, overview, and reporting","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,1671,,0.44,&&&,,,,,,,,,,,
17496,,,,"<REDACTED> requires TWO YEARS of your organization's most recently
      completed fiscal year financial reports, audited _if
      available_","Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1673,,0.44,&&&,,,,,,,,,,,
17503,,,,Attach management letter (if not already included in audit),"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1677,,0.44,&&&,,,,,,,,,,,
17506,,,,"A copy of your latest approved annual report and accounts (if they
    were not sent with the initial application)","Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1679,,0.44,&&&,,,,,,,,,,,
17509,,,,ANNUAL REPORTS FROM THE LAST TWO YEARS,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1681,,0.44,&&&,,,,,,,,,,,
17510,,,,Annual income from your latest financial accounts,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1682,,0.44,&&&,,,,,,,,,,,
17514,,,,Recent organisation bank statement,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1684,,0.44,&&&,,,,,,,,,,,
17515,,,,990 MOST RECENT,requested grant funding,requested grant funding,Requested Grant Funding Related,,1685,,0.44,&&&,,,,,,,,,,,
17519,,,,CURRENT AUDIT OR TAX RETURN,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1687,,0.44,&&&,,,,,,,,,,,
17527,,,,"According to your most recent Audited Financials, did the audit present
fairly","Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1691,,0.44,&&&,,,,,,,,,,,
17530,,,,Date of Last Board Approved Audit,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1693,,0.44,&&&,,,,,,,,,,,
17531,"Finance Documents Please note that we request two completed years of financial data, plus the current year. Our preference is to receive audited financial statements; if audit is not available, then Form 990; and, if Form 990 is not available, then internal financial statements (includes budget to actual revenue & expense statement and balance sheet).",,,"* Year covered by last audit (2015, 2016, 2017, 2018, 2019)","Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1694,,0.44,&&&,,,,,,,,,,,
17546,,,,FINANCIAL STATEMENT FOR THE LAST THREE YEARS,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1700,,0.44,&&&,,,,,,,,,,,
17558,,,,YEAR-TO-DATE INCOME STATEMENT,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1704,,0.44,&&&,,,,,,,,,,,
17561,,,,Appendix C: Current Audited Financial report,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1706,,0.44,&&&,,,,,,,,,,,
17576,,,,"FISCAL SPONSOR’S AUDITED FINANCIAL STATEMENTS, FINANCIAL REVIEW OR
    UN-AUDITED YEAR-END FINANCIAL STATEMENTS","Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1711,,0.44,&&&,,,,,,,,,,,
17592,,,,"If yes, upload a Letter of Agreement or Memorandum of Understanding
    from each collaborating organization that explains their role and is
    signed by the top executive(s) of that organization",Miscellaneous,Miscellaneous,Miscellaneous,,1717,,0.44,&&&,,,,,,,,,,,
17593,,,,"Please review and update the requested
amount and term of the grant that you
provided on the letter of inquiry",requested grant funding,requested grant funding,Requested Grant Funding Related,,1718,,0.44,&&&,,,,,,,,,,,
17594,CERTIFICATION,,,"-   Do you certify that the executive director and board of directors
    have approved submittal of this grant request, all information
    provided is accurate to the best of your knowledge and the project
    and schedule as presented will be adhered to?

-   Signature of representative requesting grant",Miscellaneous,Miscellaneous,Miscellaneous,,1719,,0.44,&&&,,,,,,,,,,,
17599,,,,Letters of collaboration from relevant partners,partnership and Community,partnership and Community,Collaborative Partnerships and Community Support,,1722,,0.44,&&&,,,,,,,,,,,
17600,,,,LETTER OF SUPPORT FROM THE PROPOSED ARTIST(S),Partnership and Community,Organizational Biographical and General Information,Organizational Biographical and General Information,,1723,,0.44,&&&,,,,,,,,,,,
17601,,,,Letter of Support-Fiscal Sponsor,Partnership and Community,Organizational Biographical and General Information,Organizational Biographical and General Information,,1724,,0.44,&&&,,,,,,,,,,,
17602,,,,Letter of Support/Testimonial,Biographical and Organizational info,Biographical and Organizational info,Organizational Biographical and General Information,,1725,,0.44,&&&,,,,,,,,,,,
17603,,,,PHASE 1: LETTER OF INTENT (LOI),miscellaneous,miscellaneous,miscellaneous,,1726,,0.44,&&&,,,,,,,,,,,
17604,,,,LOI Request Letter,miscellaneous,miscellaneous,miscellaneous,,1727,,0.44,&&&,,,,,,,,,,,
17609,,,,Highest Ranking Official,Biographical and Organizational info,"Corporate Delegation and Oversight, Organizational structure","Corporate Delegation and Oversight, Organizational structure",,1730,,0.44,&&&,,,,,,,,,,,
17622,,,,President/CEO (Signing Authority),"Corporate Delegation and Oversight, Organizational structure","Corporate Delegation and Oversight, Organizational structure","Corporate Delegation and Oversight, Organizational structure",,1735,,0.44,&&&,,,,,,,,,,,
17642,,,,EXECUTED FISCAL SPONSORSHIP AGREEMENT,"Corporate Delegation, and Oversight, Organizational structure","Corporate Delegation, and Oversight, Organizational structure","Corporate Delegation and Oversight, Organizational structure",,1743,,0.44,&&&,,,,,,,,,,,
17692,,,,Name of top paid staff or board chair,Biographical and Organizational info,"Corporate Delegation and Oversight, Organizational structure","Corporate Delegation and Oversight, Organizational structure",,1757,,0.44,&&&,,,,,,,,,,,
17693,,"The Financial Officer is a senior-level financial staff person to whom the check will be addressed or who will be asked to provide bank information for ACH/electronic funds transfer should this request be funded. The Financial Officer is also responsible for ensuring the project budget and other financial materials, if applicable, as well as financial reporting on the project if approved, are correct and endorsed by the organization.",,Financial Officer (or payee),"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1758,,0.44,&&&,,,,,,,,,,,
17694,,,,Name of Bank or Financial Institution,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1759,,0.44,&&&,,,,,,,,,,,
17697,,,,Company Registration Number,Requested grant funding,Requested grant funding,Requested Grant Funding Related,,1761,,0.44,&&&,,,,,,,,,,,
17709,,,,CONFIRM ORGANIZATION’S TAX ID/EMPLOYER IDENTIFICATION NUMBER (EIN),Requested grant funding,"Organizational Budgeting, Revenue Practices, and Forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1765,,0.44,&&&,,,,,,,,,,,
17712,,,,EIN/BRIDGE ID,Requested grant funding,"Organizational Budgeting, Revenue Practices, and Forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1767,,0.44,&&&,,,,,,,,,,,
17724,,,,Is your tax ID correct in our system,Requested grant funding,"Organizational Budgeting, Revenue Practices, and Forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1771,,0.44,&&&,,,,,,,,,,,
17725,,,,Tax Exemption Status/IRS Designation,Requested grant funding,"Organizational Budgeting, Revenue Practices, and Forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1772,,0.44,&&&,,,,,,,,,,,
17726,,,,Tax ID/EIN (US),Requested grant funding,"Organizational Budgeting, Revenue Practices, and Forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1773,,0.44,&&&,,,,,,,,,,,
17727,,,,"IRS Subsection:
Charitable Status:
Foundation Code:",Requested grant funding,"Organizational Budgeting, Revenue Practices, and Forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1774,,0.44,&&&,,,,,,,,,,,
17733,,,,Attach your district's W-9 form,Requested grant funding,"Organizational Budgeting, Revenue Practices, and Forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1777,,0.44,&&&,,,,,,,,,,,
17756,,,,Nonprofit Resources,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1785,,0.44,&&&,,,,,,,,,,,
17769,,,,Organization's legal name (and name it's commonly known by),Biographical and Organizational info,Biographical and Organizational info,Organizational Biographical and General Information,,1788,,0.44,&&&,,,,,,,,,,,
17770,,,,Charity's Legal Name,Biographical and Organizational info,Biographical and Organizational info,Organizational Biographical and General Information,,1789,,0.44,&&&,,,,,,,,,,,
17800,,,,Support from collaborating organizations,Partnership and Community,Partnership and Community,Collaborative Partnerships and Community Support,,1799,,0.44,&&&,,,,,,,,,,,
17803,,,,LIST OF ORGANIZATION’S MAJOR FUNDING,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1801,,0.44,&&&,,,,,,,,,,,
17804,,,,Organization's General Purpose,What the Organization Does,What the Organization Does,What the Organization Does,,1802,,0.44,&&&,,,,,,,,,,,
17836,,"In your original grant application, you were asked to submit information about your organization as a whole (what are you aiming to accomplish; what are your strategies for making this happen; what are your capabilities for doing so; how will you know you are making progress; what has and has not yet been accomplished). Please use this space to indicate any changes to these answers you would like us to be aware of, as well as any key program highlights or updates.",,Organizational and Program Updates,What the Organization Does,What the Organization Does,What the Organization Does,,1812,,0.44,&&&,,,,,,,,,,,
