left_context,question,right_context,identifier
,Request Contact,,9932
,Payment Contact,,9938
,Your Organization's Information,,9847
,"Region in England where the work of this application will be carried out
(if chosen England above)",,12300
,"Region in England where the organisation does most of its work (if
chosen England above)",,12280
,Tell us what the Foundation's grant would be spent on...,,12304
,Working name of your organisation (if different),,12269
,Surname,,12287
,Job title/role within organisation,,12288
,"Correspondence address (building name/number, street, etc.)",,12281
,Charity No./ FSA Mutuals Reg. No (if applicable),,12270
,Country/countries where your organisation does most of its work,,12278
,"Please tell us how you heard about the Foundation and why you have
chosen to apply to us to fund your work",,12310
,Legal name of your organisation,,12266
,"To help us understand the impact of our commitment to the <REDACTED>
Funder scheme, please select which of the below applies to your
organisation",,12275
,"Tell us briefly what work you want to do and what it will aim to
achieve...",,12302
,Please indicate the outcome under which you are applying,,12292
,Telephone number,,12289
,Company number (if applicable),,12271
,"Give us a short title for the work you wish us to support

We may use this on our website and elsewhere if your application is
successful",,12295
Now provide a fuller description of your proposal.,"Please tell us how you heard about the Foundation and why you have
chosen to apply to us to fund your work.",,12308
,Legal status of your organisation,,12267
,Type of organisation,,12272
,"Please select the option that best describes the status of
your organisation",,12268
,"If your project falls under one of our focus areas please indicate which
one",,12293
,How much are you applying for? (£),,12306
,Is this a renewal request,,11291
,FOR RENEWAL REQUESTS ONLY: OPTIONAL,,11316
,Grant Percentage of Budget,,11301
,Please explain how the efforts described above might impact the broader social good,,11314
,Project Name/Description/Objectives,,11277
,Is this a multiyear request,,11295
,Year-End Financial Statements,,11327
,Total # of Board of Directors,,9631
,Financial Statement,,9648
,Total # of staff,,9627
,"Total # of staff who identify as BIPOC (Black, Indigenous, and People of Color)",,9629
Venue Information Venue Name,"If more than one venue will be utilized for grant activities, select the one used most. (Broadcasters, skip this section unless your project will utilize a live performance venue.)

Venue Type:

Concert Hall
Recital Hall
Theater
Church/Temple
Outdoor Venue
Bar/Coffee House
Other-Explain Below
Other-Explanation",,9597
Donor List,"Provide a listing of current donors, arranged by ranges of amounts. If your organization has more than 500 donors, limit the list to institutional donors (i.e., foundation, corporate and government grants).",,9652
,"By checking this box, you are stating that you understand the date of events or fiscal year in
your application start on or after the above mentioned dates for the cycle in which you are
applying. Applications with project event start dates before the above mentioned dates will not
be considered",,9534
,Program Budget,,9642
,"Describe in what ways, if any, your organization is working to advance equity",,9637
,"Total # of Board of Directors who identify as BIPOC (Black, Indigenous, and People
of Color",,9633
,"Total # of organizational leaders (e.g., CEO, ED, COO, Director of Programs, etc.)",,9623
,What % of your total organization's budget would this grant comprise,,9568
Venue Information,Capacity,,9611
,"Is your organization's current year's operating budget one million dollars or
more",,9585
Audit,"Supply your most recently audited financial statement. (If your organization is not required to have an audit, upload unaudited financial statements or the Form 990.)",,9646
Venue Information,"Relation to Venue

Owner
Renter
Donee",,9613
,Date of Events (Start Date),,9617
Requested Allocation The cumulative total of your multiyear request should be found in your answer to the 'Amount Requested' question.,"Please specify below your requested allocation per year (for example: $25,000 in year 1; $30,000 in year 2, etc.).",,9555
,How many interns do you currently have within your organization,,9591
,"If requesting support for a program or a project, please provide an estimated
program budget",,9570
,"Type of Funding*

Program
General Operating Funds
Educational Outreach",,9544
,Does your organization utilize interns,,9588
,Grant Narrative-Description of Activities,,9639
,How many hours per week are interns expected to work,,9593
,Number of People Served by Your Organization,,9562
,"If admission is to be charged for events, list the range of ticket prices",,9621
,Is this a multiyear request?,,9551
,Date of Events (End Date),,9619
,What is the nature of the interns' compensation,,9595
,"Total # of organizational leaders who identify as BIPOC (Black, Indigenous, and
People of Color)",,9625
,Number of People Served by Grant (If different from above.),,9564
,Number of People Served by Grant (If different from above.,,13972
Priority Area,"Please select the priority area within Social Causes under which you are applying. (Please select the best fit.)

Early Childhood
School Achievement and Completion
Employment and Economic Advancement
Other",,13963
,#1 FUNDING SOURCE,,223
,#1 AMOUNT,,224
,#2 AMOUNT,,227
,Project Budget - Year 3,,208
,"HOW DO YOU PLAN TO USE TRUST DOLLARS (STAFF, SUPPLIES, TRAVEL, ETC.)",,166
,PERCENTAGE OF YOUR OPERATING BUDGET DOES THIS REQUEST REPRESENT,,200
,"Describe board leadership, involvement and capacity in the project",,192
,GEOGRAPHICAL AREA SERVED,,201
,#3 FUNDING SOURCE,,229
,#2 FUNDING SOURCE,,226
,Describe the logic model as applied to this project,,174
,Project Budget - Year 2,,206
,Program Budget - Year 1,,203
